ID,LABEL,alternative term,Type,SubClass Of,Equivalent Class,occurs in,located in,participates in,has part,only in taxon,realizes,part of,has role,has host,has vector,definition,definition source,example of usage,term editor,term tracker item,ontology term requester,comment,editor note
OPL:0000091,Schistosoma haematobium worm stage,S. haematobium worm stage,Class,,'parasitic worm stage' and ('only in taxon' some 'Schistosoma haematobium'),,,,,Schistosoma haematobium,,,,,,A worm stage of Schistosoma haematobium that is fully developed mature form and found in the pelvic blood vessels of the vesicle plexis of the mammalian host.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000092,Trypanosoma brucei epimastigote,T. brucei epimastigote,Class,'located in' some 'Glossina salivary gland'|'participates in' only 'Trypanosoma brucei epimastigote stage'|Trypanosoma brucei,,,Glossina salivary gland,Trypanosoma brucei epimastigote stage,,,,,,,,A Trypanosoma brucei that is found in the salivary glands of tse-tse fly. In this form the kinetoplast is anterior to the nucleus with a short undulating membrane running about half the length of the body.,http://dna.kdna.ucla.edu/parasite_course-old/african%20tryps%20new_files/contents1.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000093,Plasmodium falciparum hepatic schizont stage,P. falciparum hepatic schizont stage,Class,'occurs in' some 'Homo sapiens hepatocyte','hepatic schizont stage' and ('only in taxon' some 'Plasmodium falciparum'),Homo sapiens hepatocyte,,,,Plasmodium falciparum,,,,,,A hepatic schizont stage in the lifecycle of Plasmodium falciparum that occurs in the infected hepatocytes of a human host.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000094,Schistosoma japonicum sporocyst,S. japonicum sporocyst,Class,'participates in' only 'Schistosoma japonicum sporocyst stage'|Schistosoma japonicum,,,,Schistosoma japonicum sporocyst stage,,,,,,,,"A Schistosoma japonicum is an elongated sac that develops from the miracidium within the snail indermediate host, and that either produces more sporocysts or develops into cercariae.",,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000095,schistomulum stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,A parasite lifecycle stage that is the migratory stage between cercaria and adult of the schistosomes; equivalent to the metacercarial stage in other digeneans.,http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarS.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000096,Homo sapiens erythrocyte,human RBC|human erythrocyte|human red blood cell,Class,,erythrocyte and ('part of' some 'Homo sapiens'),,,,,,,Homo sapiens,,,,An erythrocyte that is a part of or originated from a human (Homo sapiens).,,,Priti Parikh,,,,
OPL:0000097,Homo sapiens vesical venus plexus,human vesical venus plexus,Class,vesical venus plexus,,,,,,,,,,,,Vesical venus plexus that is a part of or originated from a human (Homo sapiens).,,,Priti Parikh,,,,
OPL:0000098,sporocyst stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,A parasite lifecycle stage that is the early developmental stage capable of asexual reproduction: in sporozoans it is usually enclosed within an oocyst; in digeneans it is an intramolluscan stage lacking a gut.,http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarD.htm,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000099,Schistosoma haematobium 3 week worm,S. haematobium 3 week worm,Class,'located in' some 'Homo sapiens urinary bladder'|'participates in' only 'Schistosoma haematobium 3 week worm stage'|Schistosoma haematobium worm,,,Homo sapiens urinary bladder,Schistosoma haematobium 3 week worm stage,,,,,,,,"A Schistosoma haematobium worm is the mature form of Schistosoma haematobium and capable of sexual reproduction, which is found in the pelvic blood vessels of the vesicle plexis of the human host 3 weeks after infection of the mammal host.",,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000100,Schistosoma mansoni schistosomulum stage,S. mansoni schistosomulum stage,Class,,'schistomulum stage' and ('only in taxon' some 'Schistosoma mansoni'),,,,,Schistosoma mansoni,,,,,,A schistosomulum stage of Schistosoma mansoni that occurs in the definitive host and is followed by the parasitic worm stage.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
